"CODINST","NOMBREINSTITUCION","CODIGOMUNICIPIO","NOMBREMUNICIPIO","DEPARTAMENTO","CALENDARIO","NATURALEZA","JORNADA","EVALUADOS","PROMLECTURACRITICA","PROMMATEMATICA","PROMSOCIALESYCIUDADANAS","PROMCIENCIASNATURALES","PROMINGLES","PROMRAZONAMIENTOCUANTITA","PROMCOMPETENCIASCIUDADAN"
91330,"INST IP EDUCANDO LA JUVENTUD FUTURO DE COLOMBIA",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","SABATINA - DOMINICAL",16,47.81,48.81,49.63,52.81,48.81,48.94,50.31
81430,"INS DE EDUCACION DE ADULTOS COVALSYSTEM",41001,"NEIVA","HUILA","A","NO OFICIAL","TARDE",30,47.87,45.5,45.27,44.17,45.07,46.8,45.73
153304,"CENTRO TÉCNICO EMPRESARIAL EN RECURSOS NATURALES - SEDE PRINCIPAL",8001,"BARRANQUILLA","ATLANTICO","A","NO OFICIAL","SABATINA - DOMINICAL",75,44.93,43.03,42.59,41.07,43.24,44.05,43.17
90787,"CENT EDUC DIST CLASS",11001,"BOGOTÁ D.C.","BOGOTA","A","OFICIAL","TARDE",11,42.73,43.64,41.18,45.45,43.45,43.18,43.09
16667,"CORPORACIÓN CULTURAL COLEGIO ALEMÁN - SEDE PRICIPAL",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",67,68.57,73.61,73,73.09,81.96,74.58,71.31
24281,"COL SAN JORGE DE INGLATERRA",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",74,71.78,84.55,76.39,78.8,91.43,84.76,71.59
110858,"COL NUEVO CAMBRIDGE",68276,"FLORIDABLANCA","SANTANDER","B","NO OFICIAL","COMPLETA U ORDINARIA",37,68.41,81.97,75.24,79.14,84.92,83.35,73.92
105809,"INST TEC COMERCIAL INSTECOM",76248,"EL CERRITO","VALLE","A","NO OFICIAL","SABATINA - DOMINICAL",27,45.44,44.22,45,44.26,46.19,44.63,45.74
39263,"ACADE MILIT JOAQUÍN DE CAICEDO Y CUERO",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",31,46,49.13,47.61,47.94,49.16,49.97,47.23
177089,"COORPORACION COLEGIO SAN AMBROSIO DE MILAN - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",23,50.96,50.43,52.74,50.7,50.22,51.91,52.3
