"EP732","EP740","EP740S1","EP741","EP741S1","EP6240","EP6240S1","EP6250","EP6260","EP6270","EP6280","EP6290","EP6290S1","EP6300","EP6310","EP6310S1","EP6320","EP6330","EP742","EP743","EP744","DIRECTORIO_GEIH","HOGAR_GEIH","ORDEN_PERSONA_GEIH","FEX_C"
1,"GERENTE EN UNA EMPRESA",21,3,"",3,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757489","1","3",650.354597342651
2,"VENTAS EN GENERAL",45,1,"",4,"",2,2,2,1,3,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"3757491","1","3",1330.45502501124
1,"CONTADORA PUBLICA MANEJAR BALANCES DE LA EMPRESA",11,1,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757495","1","2",733.956292122937
1,"PROFESIONAL EN SALUD OCUPACIONAL",19,3,"",3,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757496","1","3",918.838647946949
1,"SUPERVISORA DE VENTAS",42,2,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757497","1","3",939.891533476037
1,"CARPINTERIA HACER MUEBLES PUERTAS",81,1,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757498","1","3",969.928368485158
1,"ADMINISTRADOR EMPRESARIO SERVICIO DE TRANSPORTE TERRESTRE DE PASAJEROS TAXI",21,1,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757500","1","1",1051.31041245393
1,"SECRETARIA ATENDER CLIENTE",32,2,"",4,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757500","1","2",1051.31041245393
1,"EMPRESARIA FABRICAR AL POR MAYOR Y DISTRIBUIR  ROPA PARA DAMA CABALLERO NINO",21,1,"",4,"",2,2,2,2,1.79769313486232e+308,"",1,10,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757502","1","6",842.700064081236
2,"GUARDA DE SEGURIDAD PRIVADA EN EDIFICIOS",58,2,"",4,"",2,2,2,1,5,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"3757503","1","2",770.42677062382
1,"CONTADORA TENEDURIA DE LIBROS ESTADOS FINANCIEROS DE LA EMPRESA",11,3,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757503","1","3",770.42677062382
1,"ESTILISTA HACER PEINADOS TRATAMIENTOS MANEJAR TINTES",57,1,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757505","1","2",921.100197064103
1,"EMPRESARIO ADMINISTRAR SU PROPIA EMPRESA DIRIGIR PERSONAL PLANEAR ESTRATEGIAS PARA EL BUEN DESARROLLO DE LAS AVTIVIDADES DE LA EMPRESA",21,1,"",4,"",2,2,2,2,1.79769313486232e+308,"",1,13,"TIENE OTROS PROYECTOS PENDIENTES",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757506","1","5",927.998889828682
2,"TENER UN NEGOCIO PROPIO DE ROPA O ZAPATOS",41,1,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757507","1","1",1499.39726801911
2,"JEFE DE MECANICA INDUSTRIAL",21,1,"",6,"INCAPACITADO HACE UN ANO",2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757507","1","2",1499.39726801911
1,"DISENADOR GRAFICO MANEJO SOFTWARE Y HARDWARE DISENO TECNOLOGICO",16,1,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757509","1","1",1265.6448424684
1,"OTORRINONARINGOLO ESPECIALISTA EN ENFERMEDADES RELACIONADAS CON LOS OIDOS Y LA NARIZ",6,1,"",3,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757510","1","2",994.052305735644
1,"INGENIERA CIVIL PARA REALIZAR PROYECTOS DE CONSTRUCCION URBANISTICOS",2,1,"",3,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757513","1","2",840.438690789589
1,"INGENIERO CIVIL REALIZAR PLANOS PARA VIAS Y EDIFICIOS",2,1,"",3,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757513","1","3",840.438690789589
1,"OFICIAL DE LA POLICIA",58,2,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757536","1","2",282.747957683628
1,"INGENIERA AMBIENTAL",2,1,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757537","1","1",191.974200219092
1,"ENFERMERA",59,2,"",4,"",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757539","1","1",257.749334140861
1,"SICOLOGIA",19,2,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757541","1","2",216.884077668782
1,"MEDICO FORENCE",6,2,"",6,"VACACIONES",2,2,2,2,1.79769313486232e+308,"",1,1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"3757543","1","3",242.059304701723
2,"AUXILIAR EN SALUD ORAL",59,1,"",4,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757544","1","2",259.966258030429
1,"COMERCIANTE ARTICULOS PARA EL HOGAR",41,1,"",3,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757546","1","5",357.663912224629
1,"MEDICO CIRUJANO",6,2,"",3,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757547","1","3",206.73969278478
1,"ADMINISTRADOR DE MINA DE ESMERALDAS",21,1,"",3,"",2,2,2,2,1.79769313486232e+308,"",1,12,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757548","1","2",242.131306866334
1,"INVENTARIOS",33,3,"",2,"",2,2,2,1,1,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"3757594","1","2",615.231184168871
1,"CONTADORA DE UNA EMPRESA",11,3,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757600","1","1",573.356240852996
2,"ODONTOLOGIA",6,1,"",3,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757605","1","2",574.741053073272
1,"JEFE DE BODEGA",39,3,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757608","1","3",719.465901015986
1,"MUSICO PROFESIONAL",17,1,"",2,"",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757608","1","4",719.465901015986
1,"AUXILIAR CONTABLE",33,3,"",3,"",2,2,2,2,1.79769313486232e+308,"",1,12,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757608","1","5",719.465901015986
1,"QUIMICO FARMACEUTICO",1,3,"",3,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757628","1","3",967.530804846198
